Treatments,Time,G,A,GG,AA,GA/AG,GAG/GGA/AGG,GGG,GGGG,AAG/AGA/GAA,AAA
2-70-40,2,0.07,0.04,0,0,0,0,0,0,0,0
2-70-50,2,0.07,0.05,0,0,0,0,0,0,0,0
2-70-60,2,0.07,0.06,0,0,0,0,0,0,0,0
2-70-70,2,0.07,0.07,0,0,0,0,0,0,0,0
2-70-80,2,0.07,0.08,0,0,0,0,0,0,0,0
2-70-90,2,0.07,0.09,0,0,0,0,0,0,0,0
2-70-100,2,0.07,0.1,0,0,0,0,0,0,0,0
2-80-0,2,0.08,0,0,0,0,0,0,0,0,0
2-80-10,2,0.08,0.01,0,0,0,0,0,0,0,0
2-80-20,2,0.08,0.02,0,0,0,0,0,0,0,0
2-80-30,2,0.08,0.03,0,0,0,0,0,0,0,0
2-80-40,2,0.08,0.04,0,0,0,0,0,0,0,0
2-80-50,2,0.08,0.05,0,0,0,0,0,0,0,0
2-80-60,2,0.08,0.06,0,0,0,0,0,0,0,0
2-80-70,2,0.08,0.07,0,0,0,0,0,0,0,0
2-80-80,2,0.08,0.08,0,0,0,0,0,0,0,0
2-80-90,2,0.08,0.09,0,0,0,0,0,0,0,0
2-80-100,2,0.08,0.1,0,0,0,0,0,0,0,0
2-90-0,2,0.09,0,0,0,0,0,0,0,0,0
2-90-10,2,0.09,0.01,0,0,0,0,0,0,0,0
2-90-20,2,0.09,0.02,0,0,0,0,0,0,0,0
2-90-30,2,0.09,0.03,0,0,0,0,0,0,0,0
2-90-40,2,0.09,0.04,0,0,0,0,0,0,0,0
2-90-50,2,0.09,0.05,0,0,0,0,0,0,0,0
2-90-60,2,0.09,0.06,0,0,0,0,0,0,0,0
2-90-70,2,0.09,0.07,0,0,0,0,0,0,0,0
2-90-80,2,0.09,0.08,0,0,0,0,0,0,0,0
2-90-90,2,0.09,0.09,0,0,0,0,0,0,0,0
2-90-100,2,0.09,0.1,0,0,0,0,0,0,0,0
2-100-0,2,0.1,0,0,0,0,0,0,0,0,0
2-100-10,2,0.1,0.01,0,0,0,0,0,0,0,0
2-100-20,2,0.1,0.02,0,0,0,0,0,0,0,0
2-100-30,2,0.1,0.03,0,0,0,0,0,0,0,0
2-100-40,2,0.1,0.04,0,0,0,0,0,0,0,0
2-100-50,2,0.1,0.05,0,0,0,0,0,0,0,0
2-100-60,2,0.1,0.06,0,0,0,0,0,0,0,0
2-100-70,2,0.1,0.07,0,0,0,0,0,0,0,0
2-100-80,2,0.1,0.08,0,0,0,0,0,0,0,0
2-100-90,2,0.1,0.09,0,0,0,0,0,0,0,0
2-100-100,2,0.1,0.1,0,0,0,0,0,0,0,0
2-0-0,3,0,0,0,0,0,0,0,0,0,0
2-0-10,3,0,0.01,0,0,0,0,0,0,0,0
2-0-20,3,0,0.02,0,0,0,0,0,0,0,0
2-0-30,3,0,0.03,0,0,0,0,0,0,0,0
2-0-40,3,0,0.04,0,0,0,0,0,0,0,0
2-0-50,3,0,0.05,0,0,0,0,0,0,0,0
2-0-60,3,0,0.06,0,0,0,0,0,0,0,0
2-0-70,3,0,0.07,0,0,0,0,0,0,0,0
2-0-80,3,0,0.08,0,0,0,0,0,0,0,0
2-0-90,3,0,0.09,0,0,0,0,0,0,0,0
2-0-100,3,0,0.1,0,0,0,0,0,0,0,0
2/10/2000,3,0.01,0,0,0,0,0,0,0,0,0
2/10/2010,3,0.01,0.01,0,0,0,0,0,0,0,0
2/10/2020,3,0.01,0.02,0,0,0,0,0,0,0,0
2/10/1930,3,0.01,0.03,0,0,0,0,0,0,0,0
2/10/1940,3,0.01,0.04,0,0,0,0,0,0,0,0
2/10/1950,3,0.01,0.05,0,0,0,0,0,0,0,0
2/10/1960,3,0.01,0.06,0,0,0,0,0,0,0,0
2/10/1970,3,0.01,0.07,0,0,0,0,0,0,0,0
2/10/1980,3,0.01,0.08,0,0,0,0,0,0,0,0
2/10/1990,3,0.01,0.09,0,0,0,0,0,0,0,0
2-10-100,3,0.01,0.1,0,0,0,0,0,0,0,0
2/20/2000,3,0.02,0,0,0,0,0,0,0,0,0
2/20/2010,3,0.02,0.01,0,0,0,0,0,0,0,0
2/20/2020,3,0.02,0.02,0,0,0,0,0,0,0,0
2/20/1930,3,0.02,0.03,0,0,0,0,0,0,0,0
2/20/1940,3,0.02,0.04,0,0,0,0,0,0,0,0
2/20/1950,3,0.02,0.05,0,0,0,0,0,0,0,0
2/20/1960,3,0.02,0.06,0,0,0,0,0,0,0,0
2/20/1970,3,0.02,0.07,0,0,0,0,0,0,0,0
2/20/1980,3,0.02,0.08,0,0,0,0,0,0,0,0
2/20/1990,3,0.02,0.09,0,0,0,0,0,0,0,0
2-20-100,3,0.02,0.1,0,0,0,0,0,0,0,0
2-30-0,3,0.03,0,0,0,0,0,0,0,0,0
2-30-10,3,0.03,0.01,0,0,0,0,0,0,0,0
2-30-20,3,0.03,0.02,0,0,0,0,0,0,0,0
2-30-30,3,0.03,0.03,0,0,0,0,0,0,0,0
2-30-40,3,0.03,0.04,0,0,0,0,0,0,0,0
2-30-50,3,0.03,0.05,0,0,0,0,0,0,0,0
2-30-60,3,0.03,0.06,0,0,0,0,0,0,0,0
2-30-70,3,0.03,0.07,0,0,0,0,0,0,0,0
2-30-80,3,0.03,0.08,0,0,0,0,0,0,0,0
2-30-90,3,0.03,0.09,0,0,0,0,0,0,0,0
2-30-100,3,0.03,0.1,0,0,0,0,0,0,0,0
2-40-0,3,0.04,0,0,0,0,0,0,0,0,0
2-40-10,3,0.04,0.01,0,0,0,0,0,0,0,0
2-40-20,3,0.04,0.02,0,0,0,0,0,0,0,0
2-40-30,3,0.04,0.03,0,0,0,0,0,0,0,0
2-40-40,3,0.04,0.04,0,0,0,0,0,0,0,0
2-40-50,3,0.04,0.05,0,0,0,0,0,0,0,0
2-40-60,3,0.04,0.06,0,0,0,0,0,0,0,0
2-40-70,3,0.04,0.07,0,0,0,0,0,0,0,0
2-40-80,3,0.04,0.08,0,0,0,0,0,0,0,0
2-40-90,3,0.04,0.09,0,0,0,0,0,0,0,0
2-40-100,3,0.04,0.1,0,0,0,0,0,0,0,0
2-50-0,3,0.05,0,0,0,0,0,0,0,0,0
2-50-10,3,0.05,0.01,0,0,0,0,0,0,0,0
2-50-20,3,0.05,0.02,0,0,0,0,0,0,0,0
2-50-30,3,0.05,0.03,0,0,0,0,0,0,0,0
2-50-40,3,0.05,0.04,0,0,0,0,0,0,0,0
2-50-50,3,0.05,0.05,0,0,0,0,0,0,0,0
2-50-60,3,0.05,0.06,0,0,0,0,0,0,0,0
2-50-70,3,0.05,0.07,0,0,0,0,0,0,0,0
2-50-80,3,0.05,0.08,0,0,0,0,0,0,0,0
2-50-90,3,0.05,0.09,0,0,0,0,0,0,0,0
2-50-100,3,0.05,0.1,0,0,0,0,0,0,0,0
2-60-0,3,0.06,0,0,0,0,0,0,0,0,0
2-60-10,3,0.06,0.01,0,0,0,0,0,0,0,0
2-60-20,3,0.06,0.02,0,0,0,0,0,0,0,0
2-60-30,3,0.06,0.03,0,0,0,0,0,0,0,0
2-60-40,3,0.06,0.04,0,0,0,0,0,0,0,0
